program_code,program_name,sub-plan_code,sub-plan_name,complexity_score,total_degrees_awarded,less_than_4,four,four_and_a_half,five,five_and_a_half,six,greater_than_6
PHLBS,Public Health,QNTMPH,Quantitative Methods in PH,76,10,0,10,10,10,10,10,0
STATDSBA,Statistics and Data Science,-,Not Available,160,2,0,2,2,2,2,2,0
GNSBGS,General Studies,STHS,"Sci, Tech, Health & Society",44,75,6,23,29,38,51,58,17
CRTVBA,Creative Writing,-,Not Available,58,61,9,33,39,46,48,49,12
ELEMBAED,Elementary Education,ESLE,English as a Second Language,60,86,1,69,74,80,80,82,4
GLSBA,Global Studies,GCLAF,"Gbl Cultures - Lit, Art,& Film",44,2,0,1,1,1,1,1,1
EHYBS,Environ Hydrology & Water Res,-,Not Available,112,8,0,4,5,7,7,7,1
ANTHBA,Anthropology,-,Not Available,43,59,12,38,45,53,54,54,5
CVEBSCVE,Civil Engineering,-,Not Available,314,89,0,45,61,77,79,82,7
STDOBA,Studio Art,-,Not Available,43,33,2,18,23,26,28,30,3
COMMBA,Communication,-,Not Available,45,580,76,474,518,551,556,559,21
AGTEBS,Agricultural Tech Mgmt & Educ,AGT,Agricultural Technology Mgmt,87,23,2,10,15,18,20,20,3
AEEBSAEE,Aerospace Engineering,-,Not Available,474,88,0,65,69,82,82,86,2
MATHBS,Mathematics,COMP,Comprehensive,91,12,4,9,9,10,10,10,2
ECONBA,Economics,-,Not Available,88,527,175,426,475,506,509,520,7
NTRSBS,Natural Resources,CBI,Conservation Biology,65,29,2,19,22,26,27,28,1
SPANBA,Spanish,TRINT,Translation and Interpretation,97,30,2,19,22,26,28,28,2
GNSTBGS,General Studies,ARMDET,"Arts, Media and Entertainment",44,31,2,17,19,23,23,27,4
GEOGBS,Geography,PHG,Physical Geography,47,7,0,3,4,6,7,7,0
ASTRBS,Astronomy,-,Not Available,305,19,0,12,12,15,15,19,0
PERFBMUS,Performance,PIANO,Piano,158,7,0,5,5,6,7,7,0
ENVSBSES,Environmental Science,POSC,Pollution Science,78,1,0,0,0,1,1,1,0
APHMBA,Applied Humanities,SODT,Spatial Org & Design Thinking,42,2,0,1,1,1,1,1,1
ENVSBSES,Environmental Science,SCPO,Science and Policy,78,1,0,0,0,1,1,1,0
BIOCBA,Biochemistry,-,Not Available,207,20,3,12,12,15,16,19,1
STDOBFA,Studio Art,PHO,Photography,43,26,3,19,22,25,26,26,0
PPELBA,"Philosophy,Politics,Econ & Law",-,Not Available,63,52,3,47,49,51,51,52,0
SPSBS,Sustainable Plant Systems,ENVRNH,Environmental Horticulture,82,3,0,2,2,3,3,3,0
ARBBA,Arabic,-,Not Available,39,2,0,1,2,2,2,2,0
PLSCBS,Plant Sciences,-,Not Available,77,11,2,8,8,11,11,11,0
PFFPBS,Personal & Family Fin Planning,-,Not Available,53,9,0,4,6,9,9,9,0
OSCMBSBA,Operations & Supply Chain Mgmt,-,Not Available,67,9,0,6,6,9,9,9,0
RHSSBSED,Rehabilitation Studies Service,-,Not Available,43,5,3,4,5,5,5,5,0
BATBS,Biosystems Analytics & Tech,-,Not Available,68,1,0,0,0,1,1,1,0
IISBAPS,Intelligence & Info Ops,LEI,Law Enforcement Intelligence,43,1,0,1,1,1,1,1,0
MCBBS,Molecular & Cellular Biology,SDB,Systems and Big Data Biology,148,1,0,1,1,1,1,1,0
MUSBA,Music,MSET,"Musicology, Ethnomus & Theory",131,1,0,1,1,1,1,1,0
OLRCBAPS,Org Leadership & Reg Commerce,OL,Organizational Leadership,57,1,0,0,0,0,0,0,1
UREGBS,Urban and Regional Development,-,Not Available,40,206,10,157,177,197,200,201,5
JOURBA,Journalism,-,Not Available,76,88,14,68,77,79,80,82,6
BMGTBSBA,Business Management,-,Not Available,73,434,36,374,410,419,422,424,10
APSBAPS,Applied Science,INFOR,Informatics,53,3,0,0,0,0,1,1,2
ELEMBAED,Elementary Education,GENELEM,General,60,104,5,67,86,93,97,98,6
FINBSBA,Finance,-,Not Available,126,484,40,430,461,473,476,478,6
ECEDBAED,Early Childhood Education,-,Not Available,49,44,1,37,38,41,42,43,1
ISTBS,Information Science & Tech,-,Not Available,68,157,10,86,110,132,136,145,12
POLBA,Political Science,-,Not Available,42,9,0,0,0,0,0,0,9
MICRBS,Microbiology,-,Not Available,82,109,8,72,82,96,96,98,11
THPRBFA,Theatre Production,DST,Design Technical Production,52,33,3,21,28,30,31,31,2
STDOBFA,Studio Art,VIC,Visual Communication,43,40,4,21,23,31,33,35,5
MTHRBFA,Musical Theatre,-,Not Available,64,24,4,21,21,21,21,22,2
MATHBS,Mathematics,PROSTAT,Probability and Statistics,102,25,8,21,23,24,24,24,1
ISECBA,Information Science & eSociety,-,Not Available,42,138,21,104,116,121,127,132,6
FTVBA,Film and Television,-,Not Available,43,100,6,79,86,93,93,95,5
ARVCBFA,Art and Visual Culture Educ,TEACHNG,Teaching,61,2,0,1,1,1,1,1,1
ARHBA,Art History,-,Not Available,43,17,4,14,14,17,17,17,0
SPSBS,Sustainable Plant Systems,CEAG,Controlled Environment Ag,82,10,1,7,8,9,9,9,1
GPSBA,Government and Public Service,-,Not Available,47,2,0,0,0,1,1,1,1
GWSBA,Gender & Women's Studies,GENGWS,General,43,9,0,6,7,7,8,8,1
MATHBS,Mathematics,LIFESCI,Life Sciences,107,2,1,1,2,2,2,2,0
PERFBMUS,Performance,JAZZST,Jazz Studies,220,6,0,3,3,3,6,6,0
